['53274', '53223']
['53223', '53166']
['53166', '23']
['46', '53816']
['53816', '52123']
['52246', '52321']
['52321', '52408']
['52408', '52447']
['52447', '52548']
['52548', '61743']
['61743', '59235']
['59235', '58803']
['58803', '59223']
['59223', '61744']
['61744', '61745']
['61745', '52913']
['52913', '52945']
['52945', '61765']
['61765', '52975']
['52975', '52992']
['52992', '60426']
['60426', '52826']
['52826', '14']
['14', '52666']
['52666', '52587']
['52587', '32']
['32', '52439']
['52439', '31']
['43', '51688']
['51688', '51762']
['51762', '54012']
['54012', '53946']
['53946', '42']
['42', '51800']
['51800', '51779']
['51734', '51696']
['51696', '54392']
['54392', '60228']
['60228', '61640']
['61640', '51775']
['51775', '60533']
['60533', '60708']
['60708', '60527']
['60527', '51871']
['51871', '51936']
['51936', '53954']
['53954', '51925']
['51925', '46']
['61743', '52500']
['52500', '53862']
['53862', '54165']
['54165', '52660']
['52660', '53886']
['53886', '52666']
['52666', '52626']
['52626', '14']
['14', '14']
['43', '56727']
['56727', '56970']
['56970', '57085']
['57085', '53901']
['53901', '51569']
['51569', '51613']
['51613', '51668']
['51668', '51725']
['51725', '51779']
['51779', '51837']
['51837', '51900']
['51900', '54158']
['54158', '52050']
['52050', '41']
['41', '53951']
['53951', '56529']
['56529', '56545']
['56545', '56579']
['56579', '56642']
['56642', '56647']
['56647', '56651']
['56651', '56648']
['56648', '56710']
['39', '56611']
['56611', '56591']
['56591', '56568']
['56568', '56560']
['56560', '52228']
['52228', '53903']
['53903', '52058']
['52058', '53904']
['53904', '51908']
['51908', '51845']
['51845', '51771']
['51771', '54299']
['54299', '54392']
['60527', '51833']
['51833', '51701']
['51701', '51789']
['51789', '56270']
['56270', '47']
['60482', '55164']
['55164', '55188']
['55188', '55159']
['55150', '55179']
['55179', '60484']
['60484', '60506']
['60506', '54749']
['54749', '54754']
['54754', '54760']
['54760', '54763']
['54763', '54764']
['54764', '54771']
['54771', '54771']
['54771', '54792']
['54792', '55019']
['55019', '55027']
['55027', '55022']
['55022', '61643']
['61643', '54868']
['54868', '60625']
['60625', '60486']
['60486', '60487']
['60487', '60489']
['60489', '54680']
['54680', '54691']
['54691', '54678']
['54678', '54534']
['54534', '54687']
['54687', '54520']
['54520', '54525']
['54525', '54717']
['54717', '54530']
['54530', '54704']
['54704', '54707']
['54707', '54706']
['54706', '54726']
['54726', '54548']
['54548', '54561']
['54561', '54575']
['54575', '60471']
['60471', '54599']
['54599', '60205']
['60205', '60492']
['60492', '60493']
['60493', '60494']
['60494', '60464']
['55270', '55257']
['55257', '55294']
['55294', '55306']
['55302', '60507']
['60507', '60387']
['60387', '61529']
['61529', '53738']
['53738', '54514']
['54514', '51932']
['51932', '60333']
['60333', '53785']
['53785', '61756']
['61756', '53926']
['53926', '54513']
['54513', '54734']
['54734', '54481']
['54481', '52803']
['52803', '52860']
['52860', '52909']
['52909', '54406']
['54406', '54409']
['54409', '54241']
['54241', '61740']
['61740', '61757']
['61757', '53435']
['53435', '54248']
['54248', '53457']
['53457', '53470']
['53470', '53712']
['53712', '53476']
['53476', '53487']
['53487', '61739']
['61739', '61732']
['61732', '53448']
['53448', '53465']
