station_id,lat,lon,name,short_name,capacity,X,Y
192,45.528150161032585,-73.59169363975525,Boucher / St-Denis,6192,23,609971.4417495233,5042588.4521058975
193,45.521495731487576,-73.5968267172575,de l'Esplanade / Fairmount,6193,15,609583.5343546295,5041842.145754808
194,45.52557815939422,-73.59285570681095,de Gaspé / Fairmount,6094,23,609885.7075227846,5042301.119029031
195,45.52404631813311,-73.59015061847458,de Bullion / St-Joseph,6195,31,610099.9393213515,5042134.642307728
196,45.52142922483992,-73.58953826151264,Villeneuve / St-Laurent,6196,0,610152.8683018197,5041844.731152911
197,45.53898439552301,-73.5824453830719,de Bordeaux / Masson,6197,19,610672.3577178426,5043804.815828117
198,45.52974,-73.59527,Hélène-Baillargeon / St-Denis,6198,23,609689.0820604475,5042760.185483445
199,45.5251943015533,-73.59935637563467,Clark / St-Viateur,6199,0,609378.8076869692,5042249.596063978
200,45.524628485592636,-73.5958108305931,Maguire / St-Laurent,6200,23,609656.7843122641,5042191.572399938
201,45.52348082760688,-73.58732756238169,de l'Hôtel-de-Ville / Villeneuve,6201,23,610321.5061207769,5042075.69350149
202,45.50629456823703,-73.57282698154448,Aylmer / Sherbrooke,6203,27,611487.85079902,5040186.383454937
203,45.50936142835129,-73.57386365532875,Milton / du Parc,6205,0,611400.8172692833,5040525.662759474
204,45.51059,-73.57547,Prince-Arthur / du Parc,6206,23,611272.9187849464,5040659.925842589
205,45.51283174510449,-73.57688784599304,Ste-Famille / des Pins,6207,11,611157.754434229,5040907.0126956105
206,45.51069,-73.57805,Hutchison / des Pins,6208,23,611071.1937151193,5040667.463591652
207,45.512640029999396,-73.57060074806213,Milton / Clark,6209,27,611649.2103487852,5040894.436485725
208,45.550692068419764,-73.65636706352234,Métro Sauvé (Berri / Sauvé),6210,26,604879.3327443392,5045006.235527398
209,45.51522812881499,-73.5750961303711,des Pins / St-Laurent,6211,23,611292.9784165847,5041175.725164983
210,45.51509198406273,-73.58114182949066,Duluth / de l'Esplanade,6212,0,610821.0443094859,5041152.237861731
211,45.516906476407094,-73.57950568199158,Duluth / St-Laurent,6213,15,610945.2701234161,5041356.081739234
212,45.516090801970655,-73.5701286792755,Square St-Louis (du Square St-Louis / Laval),6214,31,611679.2561012816,5041278.462718176
213,45.50083231626815,-73.57245951890945,Metcalfe / St-Catherine,6215,43,611527.343050047,5039580.056012028
214,45.514866433022796,-73.58475860237377,Parc Jeanne-Mance (monument à sir George-Étienne Cartier),6216,43,610538.996011297,5041122.194354739
215,45.518967223320054,-73.5836161673069,Vallières / St-Laurent,6217,23,610620.1900396189,5041579.352682458
216,45.51733075399989,-73.57449866831303,de l'Hôtel-de-Ville / Roy,6219,19,611335.4961264706,5041410.148486098
217,45.51922631024093,-73.57718793155072,Laval / Duluth,6220,27,611121.7262262278,5041617.013289016
218,45.51941,-73.58685,du Mont-Royal / Clark,6221,27,610366.7613461276,5041624.093352398
219,45.51825290855221,-73.5883381962776,de l'Esplanade / du Mont-Royal,6222,0,610252.7940839201,5041493.499422866
220,45.51689731423111,-73.58910799026489,Parc Jeanne-Mance (du Mont-Royal / du Parc),6223,33,610195.3187325017,5041341.840340172
221,45.51829,-73.59235,Villeneuve / du Parc,6224,15,609939.3953141035,5041492.119014956
222,45.520188,-73.590559,Villeneuve / St-Urbain,6225,19,610075.5727467398,5041705.434905088
223,45.575707,-73.561562,Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain),6226,31,612229.6324779915,5047913.616930249
224,45.52027633320609,-73.59497621666378,Jeanne-Mance / Laurier,6227,23,609730.4230900079,5041709.201805895
225,45.52055948154798,-73.58582027256489,St-Dominique / du Mont-Royal,6229,19,610444.9332077046,5041753.213231146
226,45.5238561444472,-73.60012650489807,Waverly / St-Viateur,6230,0,609321.2594058051,5042099.881820342
227,45.523026476635074,-73.60184043645859,Jeanne-Mance / St-Viateur,6231,23,609189.0179015814,5042005.3757585455
228,45.527371996141,-73.60398352146149,Clark / Arcade,6234,0,609013.2594806076,5042485.23759342
229,45.52655700191558,-73.5982757806778,St-Dominique / St-Viateur,6235,31,609460.5496176413,5042402.460877516
230,45.53727946481992,-73.5791677236557,Laurier / de Bordeaux,6236,19,610931.6057160414,5043619.927551722
232,45.53200800170645,-73.58044445514679,Gilford / de Lanaudière,6237,15,610842.2826045651,5043032.5190718295
233,45.51666442219882,-73.57722043991089,St-Dominique / Napoléon,6903,0,611124.2309497446,5041332.350544374
234,45.54975479298636,-73.60556602478027,de Bordeaux / Jean-Talon,6924,15,608846.48165174,5044969.757576843
236,45.5057209331225,-73.62945914268494,Parc Kent (de Kent / Hudson),6240,27,607064.9632557651,5040045.592708237
237,45.51753998795678,-73.59783187508583,Querbes / Laurier,6241,15,609512.7099366704,5041401.303356768
239,45.520545179997015,-73.60820215362764,Bloomfield / Bernard,6243,0,608696.9812608473,5041721.078658328
241,45.522745298216094,-73.61328139901161,Bloomfield / Van Horne,6245,23,608296.0805182613,5041958.641083852
242,45.52085479492202,-73.61573964357376,St-Cyril / Wiseman,6246,23,608107.7253176033,5041745.298857854
243,45.53226461018495,-73.6110632121563,St-Dominique / St-Zotique,6247,31,608451.0118542317,5043019.203358175
244,45.518593,-73.581566,St-Dominique / Rachel,6248,23,610781.0429455015,5041540.604376176
