fid,id,StopCode,location,stop_id,stop_name,stop_code,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,CenDeg,CatCenDeg,Clossnes,CatClossnes
"7703","1000000000007702","57837","(589980.8325633937, 5035387.095834652)","57837",de Salaberry / Sommerset,"57837",,"45.466212","-73.848959",,http://m.stm.info/fr/horaires/arrets/57837/bus,"0",,,"1",,,0.000347222222,"2",1.792323482597,"3"
"7704","1000000000007703","57849","(589856.7437163128, 5035540.330591237)","57849",Sommerset / Roosevelt,"57849",,"45.467607","-73.850518",,http://m.stm.info/fr/horaires/arrets/57849/bus,"0",,,"2",,,0.000231481481,"1",1.760640374311,"3"
"7705","1000000000007704","57847","(589708.6972544431, 5035745.562456659)","57847",Sommerset / Chapleau,"57847",,"45.469473","-73.852374",,http://m.stm.info/fr/horaires/arrets/57847/bus,"0",,,"1",,,0.000231481481,"1",1.730057941161,"3"
"7706","1000000000007705","57845","(589520.1924328418, 5036009.002709062)","57845",Sommerset / Garland,"57845",,"45.471868","-73.854737",,http://m.stm.info/fr/horaires/arrets/57845/bus,"0",,,"2",,,0.000231481481,"1",1.700519806032,"3"
"7707","1000000000007706","57843","(589391.0447704068, 5036189.731507797)","57843",Sommerset / Shakespeare,"57843",,"45.473511","-73.856356",,http://m.stm.info/fr/horaires/arrets/57843/bus,"0",,,"1",,,0.000231481481,"1",1.671973377397,"3"
"7708","1000000000007707","58132","(589310.358977627, 5036322.037273227)","58132",Jacques-Bizard / Oakwood,"58132",,"45.474712","-73.857364",,http://m.stm.info/fr/horaires/arrets/58132/bus,"0",,,"1",,,0.000231481481,"1",1.644369536814,"3"
"7709","1000000000007708","58129","(589184.4233707761, 5036574.709545987)","58129",Jacques-Bizard / Highland,"58129",,"45.477002","-73.858929",,http://m.stm.info/fr/horaires/arrets/58129/bus,"0",,,"1",,,0.000231481481,"1",1.617662356891,"3"
"7710","1000000000007709","58127","(589106.5697951535, 5036744.949453485)","58127",Jacques-Bizard / Fernand,"58127",,"45.478544","-73.859894",,http://m.stm.info/fr/horaires/arrets/58127/bus,"0",,,"1",,,0.000231481481,"1",1.591808846285,"3"
"7711","1000000000007710","58125","(589007.421475457, 5036961.891588856)","58125",Jacques-Bizard / Labelle,"58125",,"45.480509","-73.861123",,http://m.stm.info/fr/horaires/arrets/58125/bus,"0",,,"1",,,0.000231481481,"1",1.566768718773,"3"
"7712","1000000000007711","58123","(588947.2378179803, 5037099.381560322)","58123",Jacques-Bizard / de Pierrefonds,"58123",,"45.481754","-73.861868",,http://m.stm.info/fr/horaires/arrets/58123/bus,"0",,,"2",,,0.000231481481,"1",1.542504183782,"3"
"7713","1000000000007712","58267","(588886.14404649, 5037235.081283215)","58267",Jacques-Bizard / de Pierrefonds,"58267",,"45.482983","-73.862625",,http://m.stm.info/fr/horaires/arrets/58267/bus,"0",,,"1",,,0.000231481481,"1",1.518979756085,"3"
"7714","1000000000007713","58114","(588728.4187621581, 5037449.8651235495)","58114",Jacques-Bizard / Gouin,"58114",,"45.484936","-73.864604",,http://m.stm.info/fr/horaires/arrets/58114/bus,"0",,,"1",,,0.000231481481,"1",1.496162082652,"2"
