Id,Lat,Lon,Magnitud,Number of Stops,Number of Stations,List of Stations,List of Stops,Type,Category,Name,URL
61872,45.47733499970512,-73.77907200000928,1,1,0,[],['61872'],Cluster,Small,Saint-François - No 2000,"http://maps.google.com/maps?q=&layer=c&cbll=45.47733499970512,-73.77907200000928"
60273,45.48231599973274,-73.76387300000877,1,1,0,[],['60273'],Cluster,Small,Frederick-Banting - No 7150,"http://maps.google.com/maps?q=&layer=c&cbll=45.48231599973274,-73.76387300000877"
60832,45.48261399973667,-73.76179200000871,1,1,0,[],['60832'],Cluster,Small,Frederick-Banting - Alfred-Nobel,"http://maps.google.com/maps?q=&layer=c&cbll=45.48261399973667,-73.76179200000871"
60834,45.479536999729234,-73.76578600000883,1,1,0,[],['60834'],Cluster,Small,Marie-Curie - Albert-Einstein,"http://maps.google.com/maps?q=&layer=c&cbll=45.479536999729234,-73.76578600000883"
60837,45.48506199973498,-73.76264600000874,1,1,0,[],['60837'],Cluster,Small,Marie-Curie - Alfred-Nobel,"http://maps.google.com/maps?q=&layer=c&cbll=45.48506199973498,-73.76264600000874"
55898,45.5050069998834,-73.6941250000057,1,1,0,[],['55898'],Cluster,Small,Côte-Vertu - No 2308,"http://maps.google.com/maps?q=&layer=c&cbll=45.5050069998834,-73.6941250000057"
55987,45.47887699973073,-73.76499800000882,1,1,0,[],['55987'],Cluster,Small,Marie-Curie - No 2450,"http://maps.google.com/maps?q=&layer=c&cbll=45.47887699973073,-73.76499800000882"
55980,45.48206399973795,-73.76112600000869,1,1,0,[],['55980'],Cluster,Small,Alfred-Nobel - Frederick-Banting,"http://maps.google.com/maps?q=&layer=c&cbll=45.48206399973795,-73.76112600000869"
60840,45.482140999729,-73.76587500000883,1,1,0,[],['60840'],Cluster,Small,Frederick-Banting - No 7171,"http://maps.google.com/maps?q=&layer=c&cbll=45.482140999729,-73.76587500000883"
61873,45.4768939997031,-73.78022500000931,1,1,0,[],['61873'],Cluster,Small,Saint-François - No 2025,"http://maps.google.com/maps?q=&layer=c&cbll=45.4768939997031,-73.78022500000931"
56152,45.487282999926286,-73.67756200000474,1,1,0,[],['56152'],Cluster,Small,Andover - Darnley,"http://maps.google.com/maps?q=&layer=c&cbll=45.487282999926286,-73.67756200000474"
56153,45.48977999992804,-73.67687600000471,1,1,0,[],['56153'],Cluster,Small,Andover - Delmeade,"http://maps.google.com/maps?q=&layer=c&cbll=45.48977999992804,-73.67687600000471"
55668,45.49191699992033,-73.67977700000489,1,1,0,[],['55668'],Cluster,Small,Delmeade - Côte-de-Liesse,"http://maps.google.com/maps?q=&layer=c&cbll=45.49191699992033,-73.67977700000489"
56139,45.49413999992597,-73.67760500000476,1,1,0,[],['56139'],Cluster,Small,Côte-de-Liesse - No 5750,"http://maps.google.com/maps?q=&layer=c&cbll=45.49413999992597,-73.67760500000476"
55843,45.49580499992485,-73.67800900000478,1,1,0,[],['55843'],Cluster,Small,Côte-de-Liesse - No 5805,"http://maps.google.com/maps?q=&layer=c&cbll=45.49580499992485,-73.67800900000478"
55553,45.48981399989001,-73.69166000000556,1,1,0,[],['55553'],Cluster,Small,Cavendish - Griffith,"http://maps.google.com/maps?q=&layer=c&cbll=45.48981399989001,-73.69166000000556"
55986,45.48769999991233,-73.68290300000507,1,1,0,[],['55986'],Cluster,Small,Dalton - Cavendish,"http://maps.google.com/maps?q=&layer=c&cbll=45.48769999991233,-73.68290300000507"
56154,45.486487999917664,-73.68086700000494,1,1,0,[],['56154'],Cluster,Small,Dalton - No 8423,"http://maps.google.com/maps?q=&layer=c&cbll=45.486487999917664,-73.68086700000494"
56155,45.485963999923655,-73.67858500000482,1,1,0,[],['56155'],Cluster,Small,Andover - No 5975,"http://maps.google.com/maps?q=&layer=c&cbll=45.485963999923655,-73.67858500000482"
61555,45.47828600037947,-73.54439699999328,1,1,0,[],['61555'],Cluster,Small,Marc-Cantin - Studios Mel's,"http://maps.google.com/maps?q=&layer=c&cbll=45.47828600037947,-73.54439699999328"
61554,45.48067300038436,-73.54323499999316,1,1,0,[],['61554'],Cluster,Small,Marc-Cantin - Fernand-Seguin,"http://maps.google.com/maps?q=&layer=c&cbll=45.48067300038436,-73.54323499999316"
54314,45.48937000038225,-73.5436359999932,1,1,0,[],['54314'],Cluster,Small,des Moulins - Pierre-Dupuy,"http://maps.google.com/maps?q=&layer=c&cbll=45.48937000038225,-73.5436359999932"
60204,45.48670100035551,-73.54998299999393,1,1,0,[],['60204'],Cluster,Small,Bridge - No 225,"http://maps.google.com/maps?q=&layer=c&cbll=45.48670100035551,-73.54998299999393"
53050,45.48702400034082,-73.55351299999434,1,1,0,[],['53050'],Cluster,Small,Bridge - Mill,"http://maps.google.com/maps?q=&layer=c&cbll=45.48702400034082,-73.55351299999434"
54401,45.482472000403064,-73.53887599999264,1,1,0,[],['54401'],Cluster,Small,Carrie-Derick - Fernand-Seguin,"http://maps.google.com/maps?q=&layer=c&cbll=45.482472000403064,-73.53887599999264"
59288,45.47996400039926,-73.53978199999274,1,1,0,[],['59288'],Cluster,Small,Carrie-Derick - Fernand-Seguin,"http://maps.google.com/maps?q=&layer=c&cbll=45.47996400039926,-73.53978199999274"
54369,45.49687500034233,-73.55305099999428,1,1,0,[],['54369'],Cluster,Small,de la Commune - Queen,"http://maps.google.com/maps?q=&layer=c&cbll=45.49687500034233,-73.55305099999428"
54370,45.495599000340334,-73.55354499999434,1,1,0,[],['54370'],Cluster,Small,Brennan - Duke,"http://maps.google.com/maps?q=&layer=c&cbll=45.495599000340334,-73.55354499999434"
61559,45.47315800015719,-73.6019539999992,1,1,0,[],['61559'],Cluster,Small,Centre universitaire de santé McGill,"http://maps.google.com/maps?q=&layer=c&cbll=45.47315800015719,-73.6019539999992"
61558,45.47174000015281,-73.60323299999929,1,1,0,[],['61558'],Cluster,Small,Centre univ. de santé McGill,"http://maps.google.com/maps?q=&layer=c&cbll=45.47174000015281,-73.60323299999929"
52052,45.479382000220795,-73.58421299999755,1,1,0,[],['52052'],Cluster,Small,Saint-Jacques - Laporte,"http://maps.google.com/maps?q=&layer=c&cbll=45.479382000220795,-73.58421299999755"
52094,45.48109100022531,-73.58298299999743,1,1,0,[],['52094'],Cluster,Small,Saint-Jacques - Rose-de-Lima,"http://maps.google.com/maps?q=&layer=c&cbll=45.48109100022531,-73.58298299999743"
56305,45.484019000225075,-73.5830189999974,1,1,0,[],['56305'],Cluster,Small,Saint-Antoine - Greene,"http://maps.google.com/maps?q=&layer=c&cbll=45.484019000225075,-73.5830189999974"
52093,45.48241800021749,-73.58507099999763,1,1,0,[],['52093'],Cluster,Small,Saint-Antoine - Rose-de-Lima,"http://maps.google.com/maps?q=&layer=c&cbll=45.48241800021749,-73.58507099999763"
51997,45.48075800021162,-73.58667799999779,1,1,0,[],['51997'],Cluster,Small,Saint-Antoine - Laporte,"http://maps.google.com/maps?q=&layer=c&cbll=45.48075800021162,-73.58667799999779"
51964,45.47970500020794,-73.58769399999788,1,1,0,[],['51964'],Cluster,Small,Saint-Antoine - du Couvent,"http://maps.google.com/maps?q=&layer=c&cbll=45.47970500020794,-73.58769399999788"
51927,45.45143800020182,-73.58967399999804,1,1,0,[],['51927'],Cluster,Small,Allard - Laurendeau,"http://maps.google.com/maps?q=&layer=c&cbll=45.45143800020182,-73.58967399999804"
50676,45.53204800002419,-73.64231600000245,1,1,0,[],['50676'],Cluster,Small,Champagneur - de Liège,"http://maps.google.com/maps?q=&layer=c&cbll=45.53204800002419,-73.64231600000245"
50588,45.53311300001244,-73.64624000000273,1,1,0,[],['50588'],Cluster,Small,Champagneur - Crémazie,"http://maps.google.com/maps?q=&layer=c&cbll=45.53311300001244,-73.64624000000273"
59089,45.53433700002312,-73.64264400000249,1,1,0,[],['59089'],Cluster,Small,Querbes - Durocher,"http://maps.google.com/maps?q=&layer=c&cbll=45.53433700002312,-73.64264400000249"
50682,45.53327300002554,-73.64185200000243,1,1,0,[],['50682'],Cluster,Small,de Liège - De L'Épée,"http://maps.google.com/maps?q=&layer=c&cbll=45.53327300002554,-73.64185200000243"
51070,45.52891000007721,-73.62526500000118,1,1,0,[],['51070'],Cluster,Small,Ogilvy - Querbes,"http://maps.google.com/maps?q=&layer=c&cbll=45.52891000007721,-73.62526500000118"
52608,45.50633800028498,-73.56715099999583,1,1,0,[],['52608'],Cluster,Small,De Bleury - Sainte-Catherine,"http://maps.google.com/maps?q=&layer=c&cbll=45.50633800028498,-73.56715099999583"
53438,45.643640000515624,-73.5124669999893,1,1,0,[],['53438'],Cluster,Small,Saint-Jean-Baptiste - Forsyth,"http://maps.google.com/maps?q=&layer=c&cbll=45.643640000515624,-73.5124669999893"
54242,45.65824200043392,-73.5300959999916,1,1,0,[],['54242'],Cluster,Small,Armand-Chaput - No 11410,"http://maps.google.com/maps?q=&layer=c&cbll=45.65824200043392,-73.5300959999916"
60898,45.65065100022896,-73.58019599999722,1,1,0,[],['60898'],Cluster,Small,Rodolphe-Forget - Fernand-Forest,"http://maps.google.com/maps?q=&layer=c&cbll=45.65065100022896,-73.58019599999722"
60339,45.66307200040987,-73.53548999999228,1,1,0,[],['60339'],Cluster,Small,Maurice-Duplessis - 87e Avenue,"http://maps.google.com/maps?q=&layer=c&cbll=45.66307200040987,-73.53548999999228"
54245,45.657090000437094,-73.52939499999151,1,1,0,[],['54245'],Cluster,Small,Armand-Chaput - No 11380,"http://maps.google.com/maps?q=&layer=c&cbll=45.657090000437094,-73.52939499999151"
53979,45.58806300045424,-73.5262749999911,1,1,0,[],['53979'],Cluster,Small,Hôpital Louis-H.-La Fontaine,"http://maps.google.com/maps?q=&layer=c&cbll=45.58806300045424,-73.5262749999911"
