fid, reach
1355,102
1356,59
1357,244
1358,290
1359,172
1360,240
1361,365
1362,249
1363,211
1364,219
1365,178
1366,145
1367,230
1368,190
1369,140
1370,233
1371,342
1372,283
1373,207
1374,182
1375,119
1376,118
1377,114
1378,137
1379,124
1380,270
1381,415
1382,331
1383,242
1384,152
1385,6
1386,146
1387,172
1388,84
1389,13
1390,66
1391,103
1392,247
1393,338
1394,298
1395,211
1396,196
1397,155
1398,341
1399,476
1400,815
1401,588
1402,336
1403,224
1404,136
1405,151
1406,167
1407,166
1408,178
1409,1
1410,562
1411,361
1412,295
1413,314
1414,315
1415,287
1416,266
1417,260
1418,510
1419,641
1420,479
1421,920
1422,613
1423,622
1424,312
1425,103
1426,55
1427,196
1428,452
1429,507
1430,626
1431,607
1432,500
1433,868
1434,800
1435,706
1436,582
1437,588
1438,500
1439,390
1440,957
1441,939
1442,893
1443,776
1444,563
1445,464
1446,525
1447,775
1448,409
1449,680
1450,931
1451,815
1452,733
1453,620
1454,638
1455,677
1456,11
1457,338
1458,482
1459,414
1460,792
1461,618
1462,92
1463,85
1464,15
1465,592
1466,641
1467,404
1468,601
1469,919
1470,729
1471,468
1472,289
1473,325
1474,526
1475,63
1476,151
1477,367
1478,50
1479,103
1480,19
1481,347
1482,887
1483,471
1484,674
1485,0
1486,0
1487,0
1488,0
1489,0
1490,0
1491,0
1492,0
1493,0
1494,0
1495,0
1496,0
1497,0
1498,0
1499,0
1500,0
1501,10
1502,3
1503,3
1504,1
1505,0
1506,4
1507,5
1508,5
1509,3
1510,11
1511,19
1512,2
1513,2
1514,368
1515,0
1516,9
1517,1
1518,4
1519,12
1520,0
1521,0
1522,2
1523,0
1524,338
1525,528
1526,0
1527,0
1528,1
1529,56
1530,7
1531,0
1532,1
1533,4
1534,10
1535,26
1536,260
1537,189
1538,4
1539,3
1540,185
1541,125
1542,36
1543,59
1544,0
1545,60
1546,61
1547,141
1548,731
1549,1507
1550,1435
1551,1005
1552,1507
1553,1563
1554,493
1555,895
1556,988
1557,953
1558,560
1559,498
1560,226
1561,1682
1562,1804
1563,1807
1564,2098
1565,1244
1566,358
1567,346
1568,357
1569,1710
1570,1453
1571,1222
1572,1035
1573,867
1574,250
1575,210
1576,328
1577,725
1578,500
1579,521
1580,196
1581,352
1582,522
1583,170
1584,375
1585,359
1586,366
1587,228
1588,4
1589,9
1590,3
1591,62
1592,42
1593,252
1594,11
1595,72
1596,1287
1597,685
1598,70
1599,18
1600,927
1601,1352
1602,120
1603,331
1604,453
1605,264
1606,5
1607,153
1608,647
1609,625
1610,622
1611,544
1612,673
1613,514
1614,499
1615,306
1616,557
1617,523
1618,830
1619,1026
1620,785
1621,1064
1622,658
1623,782
1624,879
1625,864
1626,110
1627,21
